campus,entity,meii_burden,gap_risk,mean_burden_rank,median_burden_rank,n_wos,r_L1,r_L2,r_L3,r_L4x,r_L5r,meii_b_obs_wo,meii_b_floor_wo,meii_b_sig_wo,gap_obs_wo,gap_floor_wo,gap_sig_wo,meii_b_obs_year_block,meii_b_floor_year_block,meii_b_sig_year_block,gap_obs_year_block,gap_floor_year_block,gap_sig_year_block,topk_burden_count,profile
1,B20,0.086066296582387,0.3,0.3,0.3,1288,0.2666666666666666,0.4,0.3333333333333333,0.2,0.6,0.08606629658238704,0.06666666666666665,True,0.3,0.36666666666666664,False,0.08606629658238704,0.054433105395181744,True,0.3,0.36666666666666664,False,0,unstable_aligned
1,B30,0.1,0.1999999999999999,0.3166666666666666,0.3333333333333333,804,0.4,0.2,0.2666666666666666,0.4,0.5333333333333333,0.1,0.054433105395181744,True,0.19999999999999996,0.2666666666666666,False,0.1,0.09428090415820634,True,0.19999999999999996,0.3666666666666666,False,0,unstable_aligned
1,C10,0.1088662107903634,0.1333333333333333,0.6,0.6,8488,0.6,0.6,0.7333333333333333,0.4666666666666667,0.4666666666666667,0.10886621079036345,0.06666666666666665,True,0.1333333333333333,0.3333333333333333,False,0.10886621079036345,0.09999999999999998,True,0.1333333333333333,0.2666666666666667,False,0,unstable_aligned
1,C20,0.0638284738504225,0.4333333333333333,0.25,0.2333333333333333,771,0.2,0.3333333333333333,0.2,0.2666666666666666,0.6666666666666666,0.06382847385042252,0.06382847385042253,False,0.4333333333333333,0.4333333333333333,False,0.06382847385042252,0.06666666666666667,False,0.4333333333333333,0.4333333333333333,False,0,stable_aligned
1,C30,0.0333333333333333,0.6,0.6833333333333333,0.6666666666666666,5264,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.0666666666666666,0.033333333333333326,0.03333333333333338,False,0.6,0.6,False,0.033333333333333326,0.033333333333333326,False,0.6,0.6,False,0,stable_divergent
1,D10,0.1138550085106622,0.1,0.4166666666666666,0.4333333333333333,1255,0.4666666666666667,0.2666666666666666,0.4,0.5333333333333333,0.3333333333333333,0.1138550085106622,0.06666666666666665,True,0.10000000000000003,0.16666666666666669,False,0.1138550085106622,0.08388704928078608,True,0.10000000000000003,0.5333333333333333,False,0,unstable_aligned
1,D20,0.0333333333333333,0.0666666666666666,0.8833333333333334,0.8666666666666667,30510,0.9333333333333332,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333332,0.033333333333333326,0.033333333333333326,False,0.06666666666666665,0.06666666666666665,False,0.033333333333333326,0.0,True,0.06666666666666665,0.20000000000000007,False,4,stable_aligned
1,D30,0.0333333333333333,0.0,0.9833333333333334,1.0,31593,1.0,1.0,0.9333333333333332,1.0,1.0,0.033333333333333326,0.0,True,0.0,0.0,False,0.033333333333333326,0.0,True,0.0,0.2666666666666667,False,4,unstable_aligned
1,D40,0.0544331053951817,0.6,0.7333333333333333,0.7333333333333333,17686,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,0.1333333333333333,0.05443310539518177,0.033333333333333326,True,0.6,0.6666666666666666,False,0.05443310539518177,0.03849001794597504,True,0.6,0.6666666666666666,False,0,unstable_divergent
1,D50,0.0942809041582063,0.0333333333333333,0.8666666666666667,0.8333333333333334,31765,0.8666666666666667,0.8,1.0,0.8,0.8666666666666667,0.09428090415820632,0.03333333333333338,True,0.033333333333333326,0.10000000000000009,False,0.09428090415820632,0.0,True,0.033333333333333326,0.3666666666666667,False,2,unstable_aligned
1,D90,0.1885618083164126,0.6000000000000001,0.8,0.8666666666666667,2589,0.8,0.9333333333333332,0.5333333333333333,0.9333333333333332,0.2666666666666666,0.18856180831641267,0.033333333333333326,True,0.6000000000000001,0.6000000000000001,False,0.18856180831641267,0.0,True,0.6000000000000001,0.6000000000000001,False,2,unstable_divergent
