campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6,upm_share
1,B20,251170.59039735,272742.6251112198,2813.25,1180.6666666666663,0.9166666666666666,97305.78369607,0.4779251548360073,1288,6,1102.8,0.2666666666666666,0.4,0.3333333333333333,0.2,0.7333333333333333,5,0.3866666666666666,0.2076321533652991,0.1333333333333333,366423.8501112198,0.2453416149068323
1,B30,373655.92318347,401317.6134920525,1417.5,737.0,0.9166666666666666,255468.34252863,0.6668893466757261,804,6,1102.8,0.4,0.2,0.2666666666666666,0.4,1.0,5,0.4533333333333333,0.3176301133219092,0.1333333333333333,448520.3634920525,0.34577114427860695
1,C10,2195181.37066251,2382404.271471479,27039.75,8488.0,1.0,840631.16115041,0.2031640127694491,8488,6,1102.8,0.6,0.6,0.7333333333333333,0.4666666666666667,0.0666666666666666,5,0.4933333333333333,0.2564717874889512,0.1333333333333333,3282827.946471479,0.930607917059378
1,C20,215323.74386844,234691.7464488047,2410.0,706.75,0.9166666666666666,115695.49325301996,0.6441291290041065,771,6,1102.8,0.2,0.3333333333333333,0.2,0.2666666666666666,0.8666666666666667,5,0.3733333333333333,0.2812669747963865,0.1333333333333333,314944.74644880474,0.40077821011673154
1,C30,3055002.20806272,3315100.452764593,35521.5,5264.0,1.0,1951059.87282183,0.381790544493869,5264,6,1102.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.2,5,0.5866666666666667,0.2180723631172816,0.0,4497966.402764593,0.973404255319149
1,D10,1287109.97160417,1384022.861059567,1492.5,1202.7083333333337,0.9583333333333334,1113764.1575500602,0.6461840905671781,1255,6,1102.8,0.4666666666666667,0.2666666666666666,0.4,0.6,0.9333333333333332,5,0.5333333333333334,0.2538591035287969,0.1999999999999999,1433723.111059567,0.3880478087649402
1,D20,9030919.11940466,9780730.037393756,118127.11,30510.0,1.0,4439012.84716039,0.4271442668215578,30510,6,1102.8,0.9333333333333332,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.4,5,0.7866666666666667,0.2180723631172816,0.0,13714362.800393756,0.5993117010816126
1,D30,17578298.58175888,19044704.62933413,225149.07,31593.0,1.0,11382071.576480038,0.434561599899394,31593,6,1102.8,1.0,1.0,0.9333333333333332,1.0,0.4666666666666667,5,0.8800000000000001,0.2328566559543063,0.0666666666666666,26542168.66033413,0.605197353844206
1,D40,4037615.72624785,4373691.590099596,40665.95,17686.0,1.0,1501129.07355737,0.4650868600307529,17686,6,1102.8,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,0.6666666666666666,5,0.72,0.0557773351022717,0.0666666666666666,5727867.725099595,0.07678389686757887
1,D50,7301158.9730864,7913948.478284336,90259.75,31765.0,1.0,2562025.41600462,0.4228293992694081,31765,6,1102.8,0.8666666666666667,0.8,1.0,0.8,0.3333333333333333,5,0.76,0.2521022720158538,0.0666666666666666,10919598.153284336,0.6520384070517865
1,D90,5437250.30898542,5902478.835021541,141761.91999999998,2481.125,0.9583333333333334,5184546.97206985,0.4458296683639865,2589,6,1102.8,0.8,0.9333333333333332,0.5333333333333333,0.9333333333333332,0.5333333333333333,5,0.7466666666666667,0.2022100118413747,0.4,10623150.77102154,0.0
1,E10,1941145.34212571,2104105.267412958,21808.05,3773.0,1.0,1035690.15274186,0.4639938675237812,3773,6,1102.8,0.5333333333333333,0.5333333333333333,0.6,0.5333333333333333,0.6,5,0.5599999999999999,0.036514837167011,0.0666666666666666,2830313.332412958,0.5120593692022264
1,E20,366389.06866493,399162.7192604814,5413.5,1261.3333333333333,0.9166666666666666,139864.24820948,0.5652204800429813,1376,6,1102.8,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.8,5,0.48,0.1909042808436847,0.1333333333333333,579432.2692604815,0.813953488372093
1,G20,82538.29869883001,89252.72259106024,1227.0,432.5,0.8333333333333334,49993.93648803,0.3613349709965766,519,5,1102.8,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,5,0.1333333333333333,0.0,0.0,130111.82259106023,0.9865125240847784
1,G30,18860.49927273,20401.821051674237,193.5,56.66666666666666,0.6666666666666666,0.0,0.4032839316817111,85,6,1102.8,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.2666666666666666,5,0.1066666666666666,0.0894427190999915,0.0,26845.371051674232,0.12941176470588237
2,B10,707263.5,755357.2942018937,0.0,133.65,0.55,502275.45,,243,4,3187.52,0.2142857142857142,0.0714285714285714,0.1428571428571428,0.2857142857142857,,4,0.1785714285714285,0.0922138891954146,0.1071428571428571,755357.2942018937,0.0
