campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6,meii_obs_boot,mean_rank_obs,noise_floor_p95,noise_floor_median,significant,cost_floor_p95,significant_costfloor,rank_sd_L1,rank_sd_L2,rank_sd_L3,rank_sd_L4,rank_sd_L5,meii_class
1,B20,251170.59039735,272742.6251112198,2813.25,1180.6666666666663,0.9166666666666666,97305.78369607,0.4779251548360073,1288,6,1102.8,0.2666666666666666,0.4,0.3333333333333333,0.2,0.7333333333333333,5,0.3866666666666666,0.2076321533652991,0.1333333333333333,366423.8501112198,0.20763215336529914,0.3866666666666666,0.14605934866804426,0.059628479399994376,True,0.036514837167011066,True,0.02061786136626289,0.020447120858890805,0.029436935979591274,0.04170277381141212,0.11130663477404452,medium
1,B30,373655.92318347,401317.6134920525,1417.5,737.0,0.9166666666666666,255468.34252863,0.6668893466757261,804,6,1102.8,0.4,0.2,0.2666666666666666,0.4,1.0,5,0.4533333333333333,0.3176301133219092,0.1333333333333333,448520.3634920525,0.3176301133219092,0.4533333333333333,0.10110500592068733,0.03651483716701108,True,0.0365148371670111,True,0.03316212286720691,0.04390005686523156,0.006956975680691465,0.0029799313921990552,0.07266247581074102,high
1,C10,2195181.37066251,2382404.271471479,27039.75,8488.0,1.0,840631.16115041,0.2031640127694491,8488,6,1102.8,0.6,0.6,0.7333333333333333,0.4666666666666667,0.0666666666666666,5,0.4933333333333333,0.2564717874889512,0.1333333333333333,3282827.946471479,0.2564717874889512,0.49333333333333335,0.059628479399994404,0.0,True,0.030149269573347577,True,0.017568209223157546,0.022405550101303143,7.664372014446628e-15,0.028644612882364407,0.06631203642676031,medium
1,C20,215323.74386844,234691.7464488047,2410.0,706.75,0.9166666666666666,115695.49325301996,0.6441291290041065,771,6,1102.8,0.2,0.3333333333333333,0.2,0.2666666666666666,0.8666666666666667,5,0.3733333333333333,0.2812669747963865,0.1333333333333333,314944.74644880474,0.2812669747963865,0.37333333333333335,0.16695929510638882,0.04714045207910315,True,0.036514837167011066,True,0.020617861366262688,0.02070829007238813,0.006956975680691542,0.044771370167751054,0.22985780906936354,medium
1,C30,3055002.20806272,3315100.452764593,35521.5,5264.0,1.0,1951059.87282183,0.381790544493869,5264,6,1102.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.2,5,0.5866666666666667,0.2180723631172816,0.0,4497966.402764593,0.21807236311728165,0.5866666666666667,0.059628479399994404,0.029814239699997188,True,0.0,True,2.99910209260955e-15,0.011711696311686167,2.99910209260955e-15,0.002108185106778921,0.0729382081245948,medium
1,D10,1287109.97160417,1384022.861059567,1492.5,1202.7083333333337,0.9583333333333334,1113764.1575500602,0.6461840905671781,1255,6,1102.8,0.4666666666666667,0.2666666666666666,0.4,0.6,0.9333333333333332,5,0.5333333333333334,0.2538591035287969,0.1999999999999999,1433723.111059567,0.2538591035287969,0.5333333333333334,0.08164965809277264,0.03651483716701107,True,0.0,True,1.1107785528183519e-14,0.04498073587585308,0.02943693597959103,0.03445855244029748,0.07193269138484656,medium
1,D20,9030919.11940466,9780730.037393756,118127.11,30510.0,1.0,4439012.84716039,0.4271442668215578,30510,6,1102.8,0.9333333333333332,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.4,5,0.7866666666666667,0.2180723631172816,0.0,13714362.800393756,0.21807236311728168,0.7866666666666667,0.08944271909999162,0.059628479399994376,True,0.0,True,2.2215571056367038e-14,0.01713022345641687,5.9982041852191e-15,0.0166764735912032,0.08522279711068852,medium
1,D30,17578298.58175888,19044704.62933413,225149.07,31593.0,1.0,11382071.576480038,0.434561599899394,31593,6,1102.8,1.0,1.0,0.9333333333333332,1.0,0.4666666666666667,5,0.8800000000000001,0.2328566559543063,0.0666666666666666,26542168.66033413,0.23285665595430638,0.8800000000000001,0.11925695879998875,0.029814239699997188,True,0.0,True,0.0,0.0,2.2215571056367038e-14,0.0,0.10516113021336441,medium
1,D40,4037615.72624785,4373691.590099596,40665.95,17686.0,1.0,1501129.07355737,0.4650868600307529,17686,6,1102.8,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,0.6666666666666666,5,0.72,0.0557773351022717,0.0666666666666666,5727867.725099595,0.05577733510227173,0.72,0.11925695879998875,0.08944271909999157,False,0.0,True,7.664372014446628e-15,0.009783781940319479,1.132994123874719e-14,0.0036527018931208563,0.08263374009246066,low
1,D50,7301158.9730864,7913948.478284336,90259.75,31765.0,1.0,2562025.41600462,0.4228293992694081,31765,6,1102.8,0.8666666666666667,0.8,1.0,0.8,0.3333333333333333,5,0.76,0.2521022720158538,0.0666666666666666,10919598.153284336,0.25210227201585383,0.76,0.08944271909999157,0.029814239699997188,True,0.0,True,5.9982041852191e-15,1.132994123874719e-14,0.0,1.132994123874719e-14,0.07255981773248664,medium
