campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6
1,B20,251170.59039735002,272742.6251112198,2813.25,1180.6666666666665,0.9166666666666666,97305.78369607001,0.4779251548360073,1288,6,1102.8,0.26666666666666666,0.4,0.3333333333333333,0.2,0.7333333333333333,5,0.3866666666666666,0.20763215336529914,0.13333333333333336,366423.8501112198
1,B30,373655.92318347003,401317.6134920525,1417.5,737.0,0.9166666666666666,255468.34252862996,0.6668893466757261,804,6,1102.8,0.4,0.2,0.26666666666666666,0.4,1.0,5,0.4533333333333333,0.3176301133219092,0.13333333333333336,448520.3634920525
1,C10,2195181.37066251,2382404.271471479,27039.75,8488.0,1.0,840631.16115041,0.20316401276944915,8488,6,1102.8,0.6,0.6,0.7333333333333333,0.4666666666666667,0.06666666666666667,5,0.49333333333333335,0.2564717874889512,0.1333333333333333,3282827.946471479
1,C20,215323.74386843998,234691.7464488047,2410.0,706.75,0.9166666666666666,115695.49325301997,0.6441291290041065,771,6,1102.8,0.2,0.3333333333333333,0.2,0.26666666666666666,0.8666666666666667,5,0.37333333333333335,0.2812669747963865,0.1333333333333333,314944.74644880474
1,C30,3055002.2080627196,3315100.452764593,35521.5,5264.0,1.0,1951059.87282183,0.38179054449386907,5264,6,1102.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.2,5,0.5866666666666667,0.21807236311728165,0.0,4497966.402764593
1,D10,1287109.97160417,1384022.861059567,1492.5,1202.7083333333335,0.9583333333333334,1113764.1575500602,0.6461840905671781,1255,6,1102.8,0.4666666666666667,0.26666666666666666,0.4,0.6,0.9333333333333333,5,0.5333333333333334,0.2538591035287969,0.19999999999999996,1433723.111059567
1,D20,9030919.11940466,9780730.037393756,118127.11,30510.0,1.0,4439012.84716039,0.42714426682155787,30510,6,1102.8,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.4,5,0.7866666666666667,0.21807236311728168,0.0,13714362.800393756
1,D30,17578298.58175888,19044704.62933413,225149.07,31593.0,1.0,11382071.576480038,0.434561599899394,31593,6,1102.8,1.0,1.0,0.9333333333333333,1.0,0.4666666666666667,5,0.8800000000000001,0.23285665595430638,0.06666666666666665,26542168.66033413
1,D40,4037615.72624785,4373691.5900995955,40665.95,17686.0,1.0,1501129.0735573699,0.46508686003075295,17686,6,1102.8,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,0.6666666666666666,5,0.72,0.05577733510227173,0.06666666666666665,5727867.725099595
1,D50,7301158.9730864,7913948.478284336,90259.75,31765.0,1.0,2562025.41600462,0.42282939926940816,31765,6,1102.8,0.8666666666666667,0.8,1.0,0.8,0.3333333333333333,5,0.76,0.25210227201585383,0.06666666666666665,10919598.153284336
1,D90,5437250.30898542,5902478.835021541,141761.91999999998,2481.125,0.9583333333333334,5184546.97206985,0.4458296683639865,2589,6,1102.8,0.8,0.9333333333333333,0.5333333333333333,0.9333333333333333,0.5333333333333333,5,0.7466666666666667,0.2022100118413747,0.4,10623150.771021541
1,E10,1941145.34212571,2104105.267412958,21808.05,3773.0,1.0,1035690.15274186,0.46399386752378124,3773,6,1102.8,0.5333333333333333,0.5333333333333333,0.6,0.5333333333333333,0.6,5,0.5599999999999999,0.036514837167011066,0.06666666666666665,2830313.332412958
1,E20,366389.06866493,399162.7192604814,5413.5,1261.3333333333333,0.9166666666666666,139864.24820948,0.5652204800429813,1376,6,1102.8,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.8,5,0.48,0.19090428084368474,0.13333333333333336,579432.2692604815
1,G20,82538.29869883001,89252.72259106024,1227.0,432.5,0.8333333333333334,49993.93648803,0.36133497099657663,519,5,1102.8,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,5,0.13333333333333333,0.0,0.0,130111.82259106025
