campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6
1,A050|D30,8596.140000000001,9189.747748995358,56.0,21.583333333333336,0.5833333333333334,1745.97,0.8230621809115671,37,5,1025.61,0.22727272727272727,0.09496753246753246,0.05032467532467533,0.3246753246753247,0.847571189279732,5,0.3089622898039983,0.32004171699831835,0.2297077922077922,11054.547748995357
1,A050|D40,3221.274999999999,3493.7549408509585,53.5,53.375,0.875,0.0,0.47038321847821374,61,6,1025.61,0.05194805194805195,0.08847402597402597,0.3628246753246753,0.12094155844155845,0.31155778894472363,5,0.18714922012660706,0.14030231808323582,0.22308376297069765,5275.304940850959
1,A050|D50,14595.24933333,15791.863648372637,228.5,145.83333333333334,0.8333333333333334,0.0,0.36976245398724183,175,5,1025.61,0.3782467532467532,0.4707792207792208,0.6387987012987013,0.12094155844155845,0.16080402010050251,5,0.35391405077334726,0.216203884449879,0.3099752006787183,23400.913648372636
1,A050|D90,3163.8149999999996,3415.2262510882456,57.0,44.16666666666667,0.8333333333333334,0.0,0.25975789660197546,53,5,1025.61,0.05032467532467533,0.10064935064935066,0.30113636363636365,0.12094155844155845,0.07370184254606366,5,0.12935075811960234,0.09968287623656892,0.04723971589549479,5313.326251088245
1,A080|D20,4987.381818180001,5334.214124776496,77.0,24.375,0.625,0.0,0.6200133258877729,39,5,1025.61,0.10876623376623376,0.1672077922077922,0.08928571428571429,0.12094155844155845,0.644891122278057,5,0.22621848419587115,0.23579540143424244,0.05844155844155843,7898.314124776496
1,A080|D50,4712.35175261,5042.446784118851,68.5,14.208333333333332,0.4583333333333333,0.0,,31,4,1025.61,0.10551948051948051,0.1387987012987013,0.008116883116883116,0.12094155844155845,,4,0.09334415584415585,0.05842276633893377,0.04423701298701299,7323.49678411885
1,A100|D30,5839.455,6298.103317958785,55.5,25.333333333333332,0.6666666666666666,0.0,0.5943545903100872,38,5,1025.61,0.1444805194805195,0.09090909090909091,0.09902597402597403,0.12094155844155845,0.6030150753768844,5,0.21167444364680543,0.2197549305904252,0.045454545454545456,8146.2533179587845
1,A100|D40,3668.1599999999994,4000.717762294023,52.5,54.25,0.875,0.0,0.23929338388817395,62,6,1025.61,0.06818181818181818,0.08603896103896104,0.3676948051948052,0.12094155844155845,0.05527638190954774,5,0.13962670495333812,0.12986068322354008,0.05275974025974027,5748.967762294023
1,A100|D50,13964.60067568,15164.699214112481,228.0,147.875,0.875,0.0,0.5049341245863714,169,6,1025.61,0.3652597402597403,0.46915584415584416,0.6420454545454546,0.12094155844155845,0.4154103852596315,5,0.40256259653244586,0.18884760904481934,0.10389610389610388,22757.09921411248
1,A100|D90,2719.2949999999996,2948.070794135549,49.0,43.333333333333336,0.8333333333333334,0.0,0.17746825648690026,52,5,1025.61,0.030844155844155844,0.07792207792207792,0.29464285714285715,0.12094155844155845,0.03015075376884422,5,0.11090028062389871,0.10940657286189896,0.0900974025974026,4579.770794135549
